
--- Sheet: Catalogo ---
               Categoría  Valor                                                                                        Descripcion    Estado  Texto Ayuda 
               RESULTADO      7                                                                    Venir a la sede inmediatamente     Activo           NaN
               RESULTADO      8                                                   Se deriva a otros profesionales o instituciones     Activo           NaN
               RESULTADO      9                                                            No se acepta la ayuda que se le ofrece     Activo           NaN
               RESULTADO     10                                                                                Llamada incompleta     Activo           NaN
               RESULTADO     11                                                   Se le deriva hacia otros programas del teléfono     Activo           NaN
               RESULTADO     12                    A la persona atendida en sede se le concreta nueva cita con el mismo orientador  Inactivo           NaN
               RESULTADO     13 A la persona atendida en la sede, se le invita en general a que venga otras veces, si lo necesita     Activo           NaN
               RESULTADO     14                                                        se le deriva la llamada a la fundación Anar    Activo           NaN
             NIVEL_AYUDA      1                                                                                           No lo sé  Inactivo           NaN
             NIVEL_AYUDA      1                                                                                 Simple información  Inactivo           NaN
             NIVEL_AYUDA      2                                                                          Orientaciones puntuales,     Activo           NaN
             NIVEL_AYUDA      3                                                                        Acción de des angustiante,     Activo           NaN
             NIVEL_AYUDA      4                                                                                Compresión empática    Activo           NaN
             NIVEL_AYUDA      5                                                                       Restructuración del problema    Activo           NaN
             NIVEL_AYUDA      6                                                             programación de nuevos comportamientos    Activo           NaN
            SENTIMIENTOS      1                                                                                          Compasión    Activo           NaN
            SENTIMIENTOS      2                                                                                            Afecto     Activo           NaN
            SENTIMIENTOS      4                                                                               Aceptación y respeto    Activo           NaN
            SENTIMIENTOS      5                                                                                          Cercanía     Activo           NaN
            SENTIMIENTOS      6                                                                                      Satisfacción     Activo           NaN
            SENTIMIENTOS      7                                                                                          Serenidad  Inactivo           NaN
            SENTIMIENTOS      8                                                                     Implicación personal/simpatía     Activo           NaN
            SENTIMIENTOS      9                                                                                           Bloqueo     Activo           NaN
            SENTIMIENTOS     10                                                                                           Sorpresa  Inactivo           NaN
            SENTIMIENTOS     11                                                                                         Confusión     Activo           NaN
            SENTIMIENTOS     12                                                                                      Indiferencia     Activo           NaN
            SENTIMIENTOS     13                                                                                        Inseguridad  Inactivo           NaN
            SENTIMIENTOS     14                                                                                       Incomodidad     Activo           NaN
            SENTIMIENTOS     15                                                                                       Preocupación  Inactivo           NaN
            SENTIMIENTOS     16                                                                                         Impotencia    Activo           NaN
          AUTOEVALUACION      0                                                                                           No lo sé  Inactivo           NaN
          AUTOEVALUACION      1                                                                                     Muy deficiente  Inactivo           NaN
          AUTOEVALUACION      2                                                                                        Deficiente     Activo           NaN
          AUTOEVALUACION      3                                                                                           Regular     Activo           NaN
          AUTOEVALUACION      4                                                                                         Positiva,     Activo           NaN
          AUTOEVALUACION      5                                                                                       Muy positiva  Inactivo           NaN
      ACTITUD_EQUIVOCADA      0                                                                                            Nolo sé  Inactivo           NaN
      ACTITUD_EQUIVOCADA      1                                                                                Dirigir, presionar     Activo           NaN
      ACTITUD_EQUIVOCADA      2                                                                                         Aconsejar     Activo           NaN
      ACTITUD_EQUIVOCADA      3                                                                                         Moralizar     Activo           NaN
      ACTITUD_EQUIVOCADA      4                                                                                        Ridiculizar  Inactivo           NaN
      ACTITUD_EQUIVOCADA      5                                                                                          Consolar     Activo           NaN
      ACTITUD_EQUIVOCADA      6                                                                                          Discutir     Activo           NaN
      ACTITUD_EQUIVOCADA      7                                                                                         Compadecer    Activo           NaN
      ACTITUD_EQUIVOCADA      8                                                                                    Desviar el tema  Inactivo           NaN
      ACTITUD_EQUIVOCADA      9                                                                                            Ninguna    Activo           NaN
            SATISFACCION      0                                                                                           No lo sé  Inactivo           NaN
            SATISFACCION      1                                                                                      No dice nada     Activo           NaN
            SATISFACCION      2                                                                            Expresa disconformidad     Activo           NaN
            SATISFACCION      3                                                                             Expresa satisfacción,     Activo           NaN
            SATISFACCION      4                                                                                     Da las gracias  Inactivo           NaN
            SATISFACCION      5                                                            Cuelga sin concluir el proceso de ayuda    Activo           NaN
